nm,AbsTaDuoc,AbsHonhop
200,3.252,3.251
200.5,3.255,3.25
201,3.282,3.265
201.5,3.267,3.293
202,3.291,3.301
202.5,3.308,3.301
203,3.299,3.315
203.5,3.301,3.323
204,3.315,3.328
204.5,3.324,3.319
205,3.359,3.349
205.5,3.354,3.356
206,3.377,3.356
206.5,3.376,3.391
207,3.38,3.392
207.5,3.379,3.369
208,3.395,3.405
208.5,3.406,3.403
209,3.398,3.402
209.5,3.418,3.404
210,3.409,3.416
210.5,3.419,3.422
211,3.399,3.419
211.5,3.412,3.404
212,3.411,3.431
212.5,3.415,3.422
213,3.407,3.407
213.5,3.412,3.434
214,3.394,3.442
214.5,3.427,3.42
215,3.439,3.434
215.5,3.423,3.43
216,3.419,3.426
216.5,3.429,3.434
217,3.425,3.423
217.5,3.433,3.413
218,3.413,3.408
218.5,3.413,3.425
219,3.424,3.431
219.5,3.425,3.446
220,3.445,3.427
220.5,3.428,3.44
221,3.42,3.429
221.5,3.437,3.438
222,3.414,3.445
222.5,3.423,3.446
223,3.423,3.43
223.5,3.434,3.42
224,3.441,3.441
224.5,3.437,3.438
225,3.435,3.432
225.5,3.439,3.437
226,3.436,3.457
226.5,3.439,3.463
227,3.433,3.455
227.5,3.434,3.45
228,3.443,3.454
228.5,3.432,3.447
229,3.442,3.445
229.5,3.431,3.444
230,3.465,3.459
230.5,3.445,3.461
231,3.452,3.459
231.5,3.468,3.44
232,3.486,3.482
232.5,3.47,3.468
233,3.488,3.48
233.5,3.486,3.467
234,3.47,3.5
234.5,3.496,3.491
235,3.471,3.478
235.5,3.484,3.48
236,3.477,3.482
236.5,3.489,3.481
237,3.479,3.515
237.5,3.489,3.529
238,3.502,3.505
238.5,3.487,3.5
239,3.5,3.492
239.5,3.519,3.516
240,3.505,3.517
240.5,3.525,3.495
241,3.523,3.483
241.5,3.493,3.511
242,3.489,3.482
242.5,3.481,3.514
243,3.487,3.466
243.5,3.474,3.455
244,3.436,3.46
244.5,3.424,3.429
245,3.397,3.431
245.5,3.368,3.408
246,3.342,3.406
246.5,3.324,3.344
247,3.294,3.353
247.5,3.25,3.323
248,3.246,3.3
248.5,3.212,3.294
249,3.22,3.287
249.5,3.218,3.279
250,3.207,3.262
250.5,3.21,3.266
251,3.218,3.258
251.5,3.22,3.238
252,3.234,3.27
252.5,3.226,3.259
253,3.257,3.262
253.5,3.247,3.261
254,3.263,3.271
254.5,3.247,3.24
255,3.25,3.243
255.5,3.235,3.246
256,3.241,3.234
256.5,3.222,3.195
257,3.214,3.21
257.5,3.217,3.215
258,3.213,3.234
258.5,3.193,3.231
259,3.198,3.206
259.5,3.207,3.201
260,3.203,3.209
260.5,3.195,3.175
261,3.162,3.169
261.5,3.166,3.174
262,3.148,3.177
262.5,3.161,3.184
263,3.138,3.136
263.5,3.14,3.132
264,3.146,3.147
264.5,3.126,3.148
265,3.141,3.133
265.5,3.107,3.126
266,3.101,3.12
266.5,3.116,3.111
267,3.139,3.115
267.5,3.104,3.088
268,3.086,3.095
268.5,3.12,3.086
269,3.077,3.081
269.5,3.07,3.082
270,3.062,3.072
270.5,3.039,3.066
271,3.064,3.047
271.5,3.055,3.067
272,3.06,3.038
272.5,3.029,3.029
273,3.022,3.028
273.5,3.009,3.026
274,3.022,3.021
274.5,3.006,2.995
275,3.012,3.016
275.5,2.996,2.978
276,2.997,2.997
276.5,2.97,3.009
277,2.96,2.96
277.5,2.957,2.942
278,2.954,2.965
278.5,2.951,2.949
279,2.942,2.928
279.5,2.937,2.947
280,2.918,2.938
280.5,2.922,2.917
281,2.902,2.897
281.5,2.88,2.873
282,2.852,2.851
282.5,2.812,2.812
283,2.754,2.791
283.5,2.694,2.719
284,2.591,2.641
284.5,2.431,2.494
285,2.188,2.276
285.5,1.923,2.023
286,1.7,1.792
286.5,1.447,1.536
287,1.329,1.412
287.5,1.145,1.217
288,0.985,1.047
288.5,0.841,0.895
289,0.719,0.765
289.5,0.612,0.65
290,0.538,0.57
290.5,0.474,0.502
291,0.424,0.446
291.5,0.377,0.395
292,0.327,0.341
292.5,0.295,0.305
293,0.268,0.276
293.5,0.247,0.253
294,0.228,0.232
294.5,0.212,0.215
295,0.198,0.2
295.5,0.187,0.188
296,0.176,0.176
296.5,0.166,0.166
297,0.16,0.159
297.5,0.152,0.152
298,0.147,0.146
298.5,0.141,0.139
299,0.136,0.134
299.5,0.132,0.131
300,0.127,0.125
300.5,0.124,0.122
301,0.12,0.118
301.5,0.116,0.114
302,0.113,0.111
302.5,0.11,0.108
303,0.107,0.104
303.5,0.104,0.101
304,0.101,0.098
304.5,0.097,0.095
305,0.095,0.093
305.5,0.093,0.091
306,0.09,0.087
306.5,0.088,0.085
307,0.086,0.083
307.5,0.084,0.081
308,0.082,0.079
308.5,0.079,0.077
309,0.077,0.075
309.5,0.076,0.074
310,0.074,0.071
310.5,0.073,0.07
311,0.071,0.068
311.5,0.069,0.067
312,0.068,0.066
312.5,0.067,0.064
313,0.065,0.063
313.5,0.064,0.062
314,0.063,0.06
314.5,0.062,0.06
315,0.061,0.058
315.5,0.059,0.057
316,0.059,0.056
316.5,0.058,0.055
317,0.057,0.054
317.5,0.056,0.053
318,0.055,0.052
318.5,0.054,0.051
319,0.053,0.05
319.5,0.052,0.05
320,0.051,0.049
320.5,0.051,0.048
321,0.05,0.047
321.5,0.049,0.046
322,0.048,0.046
322.5,0.048,0.045
323,0.047,0.044
323.5,0.047,0.044
324,0.046,0.043
324.5,0.045,0.042
325,0.045,0.042
325.5,0.044,0.041
326,0.043,0.04
326.5,0.042,0.04
327,0.042,0.039
327.5,0.042,0.039
328,0.041,0.039
328.5,0.04,0.038
329,0.04,0.037
329.5,0.04,0.037
330,0.039,0.036
330.5,0.039,0.036
331,0.038,0.036
331.5,0.038,0.035
332,0.036,0.033
332.5,0.035,0.032
333,0.035,0.032
333.5,0.035,0.032
334,0.035,0.032
334.5,0.035,0.031
335,0.034,0.031
335.5,0.033,0.031
336,0.033,0.03
336.5,0.033,0.03
337,0.032,0.03
337.5,0.032,0.029
338,0.032,0.029
338.5,0.032,0.029
339,0.031,0.029
339.5,0.031,0.028
340,0.031,0.028
340.5,0.031,0.028
341,0.031,0.027
341.5,0.03,0.027
342,0.03,0.027
342.5,0.029,0.026
343,0.029,0.026
343.5,0.029,0.026
344,0.028,0.026
344.5,0.028,0.025
345,0.028,0.025
345.5,0.028,0.025
346,0.027,0.024
346.5,0.027,0.024
347,0.027,0.024
347.5,0.027,0.024
348,0.026,0.023
348.5,0.026,0.023
349,0.026,0.022
349.5,0.026,0.023
350,0.025,0.022
350.5,0.025,0.022
351,0.025,0.022
351.5,0.024,0.021
352,0.024,0.021
352.5,0.024,0.021
353,0.024,0.021
353.5,0.023,0.02
354,0.023,0.02
354.5,0.023,0.02
355,0.022,0.02
355.5,0.022,0.02
356,0.022,0.019
356.5,0.022,0.019
357,0.021,0.018
357.5,0.021,0.018
358,0.021,0.018
358.5,0.02,0.018
359,0.02,0.018
359.5,0.02,0.017
360,0.02,0.017
360.5,0.02,0.017
361,0.019,0.017
361.5,0.019,0.016
362,0.019,0.016
362.5,0.019,0.016
363,0.018,0.016
363.5,0.018,0.016
364,0.018,0.015
364.5,0.018,0.015
365,0.018,0.015
365.5,0.018,0.015
366,0.017,0.014
366.5,0.017,0.014
367,0.017,0.014
367.5,0.016,0.013
368,0.016,0.013
368.5,0.016,0.013
369,0.016,0.013
369.5,0.015,0.013
370,0.015,0.012
370.5,0.015,0.012
371,0.015,0.012
371.5,0.015,0.012
372,0.015,0.012
372.5,0.014,0.011
373,0.014,0.011
373.5,0.013,0.01
374,0.014,0.011
374.5,0.013,0.01
375,0.013,0.01
375.5,0.012,0.01
376,0.012,0.009
376.5,0.012,0.009
377,0.012,0.009
377.5,0.011,0.009
378,0.011,0.009
378.5,0.011,0.008
379,0.011,0.008
379.5,0.011,0.008
380,0.011,0.008
380.5,0.01,0.008
381,0.01,0.008
381.5,0.01,0.007
382,0.01,0.007
382.5,0.01,0.007
383,0.009,0.007
383.5,0.009,0.007
384,0.009,0.007
384.5,0.009,0.006
385,0.009,0.006
385.5,0.009,0.006
386,0.009,0.006
386.5,0.009,0.006
387,0.008,0.006
387.5,0.008,0.006
388,0.008,0.006
388.5,0.008,0.006
389,0.008,0.005
389.5,0.007,0.005
390,0.007,0.005
390.5,0.007,0.005
391,0.007,0.005
391.5,0.007,0.005
392,0.007,0.004
392.5,0.007,0.004
393,0.007,0.004
393.5,0.007,0.004
394,0.007,0.004
394.5,0.007,0.004
395,0.007,0.004
395.5,0.006,0.004
396,0.006,0.004
396.5,0.006,0.004
397,0.006,0.004
397.5,0.006,0.004
398,0.006,0.003
398.5,0.005,0.003
399,0.005,0.003
399.5,0.005,0.003
400,0.005,0.003
